Assembly	SRR1777174_trimmed_contigs
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41438
Total length (>= 1000 bp)	33528
Total length (>= 5000 bp)	31642
Total length (>= 10000 bp)	31642
Total length (>= 25000 bp)	31642
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	31642
Total length	41438
GC (%)	49.01
N50	31642
N90	646
auN	24370.4
L50	1
L90	8
# N's per 100 kbp	0.00
